id;coord;core;gender
71645;0;1;0
8054;0;1;0
3723;0;0;0
8147;0;0;0
8141;0;1;1
8158;0;0;1
38961;0;1;0
92218;0;0;0
57772;0;1;0
84454;0;0;0
8052;0;1;0
80672;0;1;0
8042;0;1;0
100272;0;0;1
102130;0;0;0
1948;0;0;0
8128;0;0;1
64655;0;0;0
8142;0;0;1
8151;0;0;0
38967;0;0;0
8132;0;0;1
65591;0;0;0
109329;0;0;0
55724;0;1;0
38934;0;1;0
85773;0;1;0
8045;0;0;0
89910;0;0;0
8050;0;0;0
38933;0;0;0
8048;0;0;0
113133;0;0;0
8055;0;1;0
8051;0;1;0
38938;0;0;1
3719;0;0;0
8039;0;0;0
8041;0;0;0
56576;0;1;0
39044;0;1;0
39034;0;1;0
8285;0;1;0
39028;0;0;0
68016;0;1;0
8082;0;1;0
8284;0;0;0
8117;0;1;0
55572;0;1;0
39043;0;0;0
38951;0;1;0
91368;0;0;1
8105;0;1;0
68560;0;0;0
38937;0;1;0
8112;0;1;0
76847;0;1;1
76403;0;0;0
8040;0;0;1
8178;0;0;1
78878;0;0;0
65383;0;1;0
8061;0;1;0
8060;0;1;0
8059;0;1;0
8140;0;1;0
57108;0;0;1
38931;0;1;0
116369;0;0;0
38957;0;1;1
38958;0;0;0
38966;0;0;1
101310;0;0;0
8167;0;0;1
73252;0;0;1
113222;0;0;1
66876;0;0;0
8163;0;0;0
8113;0;0;0
67334;0;0;1
84924;0;0;0
59056;0;0;0
8049;0;1;0
8088;0;0;0
112880;0;0;0
108814;0;0;1
8124;0;0;0
80517;0;0;0
62225;0;0;0
8097;0;0;1
8095;0;0;0
8275;0;0;0
64594;0;1;0
69473;0;0;1
93674;0;0;1
116057;0;0;1
112049;0;0;0
66046;0;0;0
93349;0;0;0
54674;0;0;1
59177;0;0;0
104677;0;0;0
67401;0;0;0
105143;0;0;1
107177;0;0;1
96773;0;0;0
92254;0;0;0
8107;0;0;0
8118;0;0;0
8155;0;1;0
70477;0;0;0
38953;0;0;1
74508;0;1;0
38960;0;0;0
58004;0;0;0
8089;0;1;0
80335;0;0;1
63189;0;0;0
82784;0;0;0
76112;0;0;0
8195;0;0;0
8272;0;0;0
8077;0;0;1
8177;0;0;0
8173;0;0;0
8129;0;0;1
55419;0;0;0
80543;0;0;1
110015;0;0;0
8172;0;1;0
8139;0;0;0
8174;0;0;0
38971;0;1;0
8162;0;1;0
8196;0;0;0
8170;0;0;1
8145;0;1;1
8168;0;1;0
8207;0;1;0
38963;0;0;0
116164;0;0;0
8192;0;0;1
8152;0;1;0
99982;0;0;0
72482;0;1;0
74874;0;0;1
8146;0;1;0
8133;0;1;0
38981;0;0;0
57780;0;1;0
8180;0;0;0
8189;0;0;0
67854;0;0;0
73416;0;1;0
101514;0;0;1
63823;0;0;0
85657;0;0;0
8171;0;1;0
8160;0;0;1
8208;0;0;1
8143;0;0;0
38978;0;0;1
70898;0;0;0
8159;0;0;0
83029;0;1;0
71267;0;0;0
92198;0;0;0
8131;0;0;0
8191;0;1;0
55384;0;1;1
73531;0;0;0
38962;0;1;1
38972;0;1;1
8157;0;1;0
8164;0;0;0
8166;0;0;0
8144;0;0;1
38964;0;0;0
38965;0;0;0
76713;0;0;0
92226;0;0;0
63999;0;0;0
8154;0;0;0
107883;0;0;0
87237;0;0;1
8198;0;0;0
108768;0;0;1
81094;0;0;0
8202;0;1;0
8187;0;0;1
85889;0;0;1
2962;0;0;1
68065;0;0;0
8135;0;0;0
8175;0;1;1
8138;0;1;0
66608;0;0;0
8181;0;0;1
8199;0;0;1
8201;0;1;0
8193;0;0;1
8209;0;0;0
38980;0;0;0
8182;0;1;0
8137;0;0;1
89174;0;0;1
76572;0;1;0
107499;0;0;0
38936;0;1;0
39652;0;0;0
38976;0;1;1
8289;0;0;0
59257;0;1;0
8270;0;1;0
67656;0;0;1
38977;0;0;0
113728;0;0;0
63016;0;0;0
8053;0;0;0
76923;0;0;0
72408;0;0;1
97226;0;0;0
114979;0;0;0
8206;0;0;0
38979;0;1;0
38975;0;0;1
8186;0;0;0
38982;0;0;0
8204;0;0;1
8185;0;0;1
38968;0;0;0
8203;0;0;1
39024;0;0;1
39027;0;1;1
38987;0;1;1
111884;0;0;1
39033;0;0;1
8277;0;1;0
8188;0;1;0
8281;0;1;0
8190;0;0;0
8183;0;1;0
38988;0;1;0
38983;0;1;0
38986;0;1;0
38985;0;1;0
8213;0;1;0
8212;0;1;0
38989;0;1;1
38990;0;1;0
8282;0;0;0
8274;0;1;0
39042;0;1;0
39040;0;1;0
8279;0;1;0
39026;0;0;0
39031;0;1;1
39032;0;1;0
39041;0;1;1
39030;0;1;0
8269;0;1;0
85072;0;1;0
39029;0;1;0
39037;0;1;0
8047;0;0;1
8037;0;1;0
73919;0;1;0
68657;0;1;0
78730;0;1;0
95881;0;0;0
70102;0;0;0
81337;0;0;0
101538;0;0;0
57122;0;0;0
82770;0;0;1
8210;0;1;0
84708;0;0;0
8214;0;1;0
8273;0;1;0
8287;0;1;0
8276;0;0;0
64295;0;0;0
61808;0;0;0
78264;0;0;0
54527;0;0;0
94634;0;0;0
42463;0;0;1
102755;0;0;0
65744;0;0;0
104910;0;0;0
100559;0;0;0
8078;0;0;0
77771;0;0;0
94715;0;0;0
61410;0;0;0
111546;0;0;0
60792;0;0;0
111074;0;0;0
57477;0;0;1
92323;0;0;0
38935;0;1;0
1885;0;0;0
73777;0;0;0
73739;0;0;0
70973;0;0;0
38974;0;0;0
38932;0;1;0
92307;0;0;1
61531;0;0;1
92243;0;0;1
